name,Region,year,y_diff,pop_n,pop_u,wat_bas_n,wat_bas_n(rounded),wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_bas_r(rounded),wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_bas_u(rounded),wat_lim_u,wat_unimp_u,wat_sur_u,ARC_N,ARC_N(full),ARC_N(filtered),ARC_R,ARC_R(full),ARC_R(filtered),ARC_U,ARC_U(full),ARC_U(filtered),ARC_DIFF
Guam,East Asia & Pacific,2015,,161.8509979,94.53399658,99.6952,100,0,0.3048,0,null,null,null,null,null,null,null,null,null,null,0,Full access,0,Null,,,Null,,,
Guam,East Asia & Pacific,2020,5,168.7830048,94.93800354,99.6952,100,0,0.3048,0,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,
Guatemala,Latin America & Caribbean,2015,,16252.4248,49.97100067,92.13403385,92,0.9684517485,4.765261087,2.132253313,87.24275618,87,1.650901287,7.052091828,4.054250709,97.03098891,97,0.2852100796,2.475775984,0.2080250227,0.374478884,,0.374478884,0.575314724,,0.575314724,0.117436106,,0.117436106,0.457878618
Guatemala,Latin America & Caribbean,2020,5,17915.56641,51.83599854,94.00642827,94,1.034150511,3.215911815,1.743509404,90.1193298,90,1.849169999,4.583438691,3.448061508,97.61816944,98,0.2768660057,1.94525887,0.1597056849,,,,,,,,,,
Guinea,Sub-Saharan Africa,2015,,11432.0957,35.14099884,63.61538954,64,16.09025603,9.757980444,10.53637399,51.94915534,52,18.76062978,13.30971721,15.98049768,85.14750769,85,11.16160263,3.202620418,0.4882692651,0.06927984,,0.06927984,-0.24019527,,-0.24019527,0.286836476,,0.286836476,-0.527031746
Guinea,Sub-Saharan Africa,2020,5,13132.79199,36.875,63.96178874,64,21.2815915,6.296119406,8.460500354,50.74817899,51,26.14432944,9.704719143,13.40277243,86.58169007,87,12.95724153,0.461068398,0,,,,,,,,,,
Guinea-Bissau,Sub-Saharan Africa,2015,,1737.207031,42.12299728,58.76434762,59,10.59149221,29.74437907,0.8997810926,48.42273005,48,7.566280361,42.58264827,1.428341318,72.97373122,73,14.7481336,12.10459589,0.173539289,0.050512918,,0.050512918,0.28183505,,0.28183505,-0.471876662,,-0.471876662,0.753711712
Guinea-Bissau,Sub-Saharan Africa,2020,5,1967.998047,44.19599915,59.01691221,59,14.03457137,26.6263769,0.3221395192,49.8319053,50,9.285773026,40.31645129,0.5658703845,70.61434791,71,20.03063358,9.340625284,0.01439322693,,,,,,,,,,
Guyana,Latin America & Caribbean,2015,,767.4329834,26.44099808,95.16185695,95,1.233247953,1.344803287,2.260091808,93.42276971,93,1.676542504,1.82819943,3.072488358,100,100,0,0,0,0.07858998,,0.07858998,0.101144158,,0.101144158,0,Full access,,0.101144158
Guyana,Latin America & Caribbean,2020,5,786.559021,26.7859993,95.55480685,96,1.205244408,1.143069849,2.096878897,93.9284905,94,1.646193862,1.561274833,2.864040809,100,100,0,0,0,,,,,,,,,,
